GenBank Assembly ID (Accession.version)	GenBank release ID	RefSeq Assembly ID (Accession.version)	RefSeq release ID 	
GCA_900136045.1	3875958	GCF_900136045.1	3898858	
GCA_900132215.1	4216918	GCF_900132215.1	4240748	
GCA_900132225.1	4206218	GCF_900132225.1	4239528	
GCA_900137215.1	4207778	GCF_900137215.1	4236288	
GCA_900137565.1	3876978	GCF_900137565.1	3897658	
GCA_900137815.1	4206138	GCF_900137815.1	4237568	
GCA_900134595.1	3875738	GCF_900134595.1	3898038	
GCA_002802685.1	5689958	GCF_002802685.1	5696108	
GCA_002801945.1	5689198	GCF_002801945.1	5693788	
GCA_900139495.1	4206198	GCF_900139495.1	4231728	
GCA_900132595.1	4204758	GCF_900132595.1	4235288	
GCA_900141435.1	4206858	GCF_900141435.1	4236028	
GCA_900133005.1	4295348	GCF_900133005.1	4304448	
GCA_900134525.1	3875638	GCF_900134525.1	3897278	
GCA_900134465.1	4204498	GCF_900134465.1	4237128	
GCA_900133655.1	3875458	GCF_900133655.1	3896498	
GCA_900132335.1	4295168	GCF_900132335.1	4305128	
GCA_900135645.1	3872378	GCF_900135645.1	3894858	
GCA_900141295.1	4211238	GCF_900141295.1	4233588	
GCA_900133385.1	3871038	GCF_900133385.1	3892678	
GCA_900135665.1	4295148	GCF_900135665.1	4304388	
GCA_900140265.1	3873178	GCF_900140265.1	3898818	
GCA_017174955.1	25339808	GCF_017174955.1	25442568	
GCA_002800805.1	5688078	GCF_002800805.1	5692928	
GCA_900140655.1	4209978	GCF_900140655.1	4229548	
GCA_900140125.1	4206578	GCF_900140125.1	4235948	
GCA_900130445.1	3870278	GCF_900130445.1	3893878	
GCA_900138315.1	4208698	GCF_900138315.1	4238068	
GCA_900135305.1	3867238	GCF_900135305.1	3890978	
GCA_900141225.1	4215278	GCF_900141225.1	4240388	
GCA_900136995.1	4204898	GCF_900136995.1	4235708	
GCA_900133645.1	3875478	GCF_900133645.1	3897198	
GCA_900139165.1	3871998	GCF_900139165.1	3895338	
GCA_900133465.1	3869078	GCF_900133465.1	3890958	
GCA_900139875.1	4212978	GCF_900139875.1	4233828	
GCA_900132505.1	3866558	GCF_900132505.1	3889098	
GCA_900131705.1	3870658	GCF_900131705.1	3893298	
GCA_900132365.1	4215778	GCF_900132365.1	4233968	
GCA_900140355.1	4214638	GCF_900140355.1	4233008	
GCA_900131925.1	3868538	GCF_900131925.1	3892378	
GCA_900137745.1	4216078	GCF_900137745.1	4234128	
GCA_900133725.1	4207458	GCF_900133725.1	4232208	
GCA_900134585.1	4205958	GCF_900134585.1	4235668	
GCA_900135435.1	3869858	GCF_900135435.1	3891298	
GCA_900132835.1	4215518	GCF_900132835.1	4230668	
GCA_900130955.1	3866178	GCF_900130955.1	3888158	
GCA_900138455.1	4205658	GCF_900138455.1	4234868	
GCA_002801205.1	5688478	GCF_002801205.1	5693188	
GCA_900141425.1	4214298	GCF_900141425.1	4237548	
GCA_900132255.1	4214498	GCF_900132255.1	4230428	
GCA_900133695.1	4212238	GCF_900133695.1	4233148	
GCA_900133755.1	4209198	GCF_900133755.1	4238428	
GCA_900138435.1	4211378	GCF_900138435.1	4238768	
GCA_900136065.1	4206838	GCF_900136065.1	4237868	
GCA_900137805.1	3877598	GCF_900137805.1	3899498	
GCA_900134345.1	4214378	GCF_900134345.1	4231568	
GCA_900136145.1	3876178	GCF_900136145.1	3897898	
GCA_900137415.1	3876638	GCF_900137415.1	3897378	
GCA_900131815.1	4560638	GCF_900131815.1	4574228	
GCA_900139295.1	3872298	GCF_900139295.1	3894998	
GCA_017175715.1	25340658	GCF_017175715.1	25448388	
GCA_900137325.1	4216038	GCF_900137325.1	4231988	
GCA_900137715.1	3877378	GCF_900137715.1	3898758	
GCA_900141075.1	3872278	GCF_900141075.1	3895378	
GCA_002802615.1	5689878	GCF_002802615.1	5696688	
GCA_900141615.1	3877918	GCF_900141615.1	3899038	
GCA_900140955.1	3873338	GCF_900140955.1	3896358	
GCA_900683445.1	8659968	GCF_900683445.1	8777178	
GCA_900137245.1	4207038	GCF_900137245.1	4236388	
GCA_900138385.1	4210418	GCF_900138385.1	4239468	
GCA_900138395.1	4206298	GCF_900138395.1	4234168	
GCA_900138085.1	4206818	GCF_900138085.1	4239608	
